figure,panels,sample_state,temperature_C,frequency_Hz,epsilon_real,epsilon_loss,digitization_score_real,digitization_score_loss,selection,provenance
Figure2,C/D,poled,30,501187.23,14.08046,2.1817703,1,0,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,30,1000000,12.643678,2.2874042,2,5,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,30,2511886.4,11.781609,2.4439389,2,5,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,30,5011872.3,10.114943,2.375582,0,2.236068,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,30,10000000,9.3678161,2.1007866,1,1,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,40,50118.723,17.011494,0.728489,2.4494897,1.4142136,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,40,100000,16.666667,1.0336505,4.1231056,3,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,40,158489.32,16.264368,1.073497,1.4142136,1.4142136,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,40,316227.77,15.574713,1.4666431,3.7416574,3,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,40,501187.23,14.942529,1.7387871,3.7416574,5.0990195,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,40,1000000,13.908046,1.8932475,3.4641016,3.1622777,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,40,1584893.2,13.908046,2.3310762,3.4641016,6.164414,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,40,3162277.7,12.356322,2.6111858,3.6055513,3.1622777,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,40,5011872.3,11.724138,2.6359949,1.4142136,13.076697,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,40,10000000,10.977011,2.5622661,5.0990195,2.236068,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-30,1.5848932,10.977011,0.55182742,4.2426407,17.233688,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-30,3.1622777,10.574713,0.62976762,5.7445626,9.4339811,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-30,7.9432823,10.287356,0.78242483,7,7.0710678,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-30,15.848932,9.6551724,0.90994762,5.9160798,6.5574385,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-30,39.810717,9.0804598,1.0094815,10.198039,7.8102497,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-30,79.432823,8.8505747,1.048315,3.1622777,13,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-30,199.52623,8.1609195,1.0682884,18.466185,14.071247,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,-30,398.10717,7.5287356,1.048315,14.866069,13.601471,ALPHA_WINDOW,DIGITIZED_SOURCE
